facilityname,updateddate,addeddate,reportdate,coverall,surgmask,shoe_cover,face_shield,head_cover,n95mask,goggles,gloves,gown,vtm,nps,ops,weekly_reportdate,region,province,city_mun,bgy,region_psgc,province_psgc,city_mun_psgc,bgy_psgc
BALUD MUNICIPAL COLLEGE,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,BALUD,ILAYA,PH050000000,PH054100000,PH054103000,PH054103010
BATUAN SENIOR CITIZEN BUILDING (ISOLATION),,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,BATUAN,POBLACION,PH050000000,PH054100000,PH054104000,PH054104011
BATUAN SENIOR CITIZEN BUILDING (ISOLATION),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,BATUAN,POBLACION,PH050000000,PH054100000,PH054104000,PH054104011
CAWAYAN EVACUATON CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,CAWAYAN,POBLACION,PH050000000,PH054100000,PH054106000,PH054106022
CLAVERIA NORTH CENTRAL SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,CLAVERIA,POBLACION DISTRICT II (BGY. 2),PH050000000,PH054100000,PH054107000,PH054107008
DIMASALANG LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,DIMASALANG,POBLACION,PH050000000,PH054100000,PH054108000,PH054108016
EXECUTIVE HOUSE,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,ESPERANZA,ILIGAN,PH050000000,PH054100000,PH054109000,PH054109006
HIMOMORO EVACUATION CENTER (ISOLATION CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,CITY OF MASBATE (CAPITAL),TUGBO,PH050000000,PH054100000,PH054111000,PH054111028
PALANAS MUNICIPAL EVACUATION CENTER (ISOLATION),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,PALANAS,NABANGIG,PH050000000,PH054100000,PH054115000,PH054115015
PVC EVACUATION CENTER (QUARANTINE),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,PIO V. CORPUZ (LIMBUHAN),POBLACION,PH050000000,PH054100000,PH054116000,PH054116015
BUENAVISTA EVACUATION CENTER (ISOLATION),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),MASBATE,USON,BUENAVISTA,PH050000000,PH054100000,PH054121000,PH054121007
TAGDON ELEMENTARY SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,BARCELONA,TAGDON,PH050000000,PH056200000,PH056202000,PH056202029
SABANG BEACH RESORT,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,BULAN,ZONE II POB. (BGY. 2- WEST ILAWOD),PH050000000,PH056200000,PH056203000,PH056203006
BULUSAN DANCALAN BEACH RESORT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,BULUSAN,DANCALAN,PH050000000,PH056200000,PH056204000,PH056204004
BICOL UNIVERSITY GUBAT CAMPUS,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,GUBAT,BUENAVISTA,PH050000000,PH056200000,PH056208000,PH056208009
JUBAN EVACUATION CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,JUBAN,BIRIRAN,PH050000000,PH056200000,PH056210000,PH056210005
SORSOGON STATE UNIVERSITY MAGALLANES CAMPUS,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,MAGALLANES,AGUADA NORTE,PH050000000,PH056200000,PH056211000,PH056211001
PRIETO DIAZ NATIONAL HS,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,PRIETO DIAZ,MANINGCAY DE ORO,PH050000000,PH056200000,PH056214000,PH056214010
OLD MUNICIPAL HALL (QUARANTINE FACILITY),,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION V (BICOL REGION),SORSOGON,SANTA MAGDALENA,BARANGAY POBLACION IV,PH050000000,PH056200000,PH056215000,PH056215006
JANIUAY PILOT ELEMENTARY SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VI (WESTERN VISAYAS),ILOILO,JANIUAY,S. M. VILLA (POB.),PH060000000,PH063000000,PH063023000,PH063023061
MAASIN CENTRAL ELEMENTARY SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VI (WESTERN VISAYAS),ILOILO,MAASIN,MARI POB. (MABINI-RIZAL),PH060000000,PH063000000,PH063029000,PH063029030
MIAGAO CENTRAL ELEMENTARY SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VI (WESTERN VISAYAS),ILOILO,MIAGAO,UBOS ILAWOD (POB.),PH060000000,PH063000000,PH063030000,PH063030118
PASSI 1 CENTRAL SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VI (WESTERN VISAYAS),ILOILO,CITY OF PASSI,POBLACION ILAWOD,PH060000000,PH063000000,PH063035000,PH063035039
ECO TOURISM BUILDING,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,BUENAVISTA,DAIT,PH070000000,PH071200000,PH071209000,PH071209020
CORTES RHU,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,CORTES,POBLACION,PH070000000,PH071200000,PH071216000,PH071216010
DAGOHOY MUNICIPAL ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAGOHOY,CALUASAN,PH070000000,PH071200000,PH071217000,PH071217007
DAGOHOY MUNICIPAL QUARANTINE FACILITY CENTRAL ELEMENTARY SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAGOHOY,POBLACION,PH070000000,PH071200000,PH071217000,PH071217011
BIKING BARANGAY ISOLATION UNIT BIKING II DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAUIS,BIKING,PH070000000,PH071200000,PH071219000,PH071219001
BIKING BARANGAY ISOLATION UNIT BIKING I DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAUIS,BIKING,PH070000000,PH071200000,PH071219000,PH071219001
CATARMAN BARANGAY ISOLATION UNIT CATARMAN DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAUIS,CATARMAN,PH070000000,PH071200000,PH071219000,PH071219004
DAO BARANGAY ISOLATION UNIT DAO OLD BARANGAY HALL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAUIS,DAO,PH070000000,PH071200000,PH071219000,PH071219005
POBLACION BARANGAY ISOLATION UNIT POBLACION DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAUIS,POBLACION,PH070000000,PH071200000,PH071219000,PH071219007
TABALONG BARANGAY ISOLATION UNIT TABALONG DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAUIS,TABALONG,PH070000000,PH071200000,PH071219000,PH071219009
MARIVELES BARANGAY ISOLATION UNIT BARANGAY HEALTH STATION,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,DAUIS,MARIVELES,PH070000000,PH071200000,PH071219000,PH071219012
ANONANG BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,ANONANG,PH070000000,PH071200000,PH071224000,PH071224001
BAHAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,BAHAN,PH070000000,PH071200000,PH071224000,PH071224002
BADIANG BARANGAY HEALTH CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,BADIANG,PH070000000,PH071200000,PH071224000,PH071224003
BANAHAO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,BANAHAO,PH070000000,PH071200000,PH071224000,PH071224007
BAOGO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,BAOGO,PH070000000,PH071200000,PH071224000,PH071224008
BUGANG BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,BUGANG,PH070000000,PH071200000,PH071224000,PH071224009
CAGAWASAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,CAGAWASAN,PH070000000,PH071200000,PH071224000,PH071224010
CAGAYAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,CAGAYAN,PH070000000,PH071200000,PH071224000,PH071224011
CAMBITOON BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,CAMBITOON,PH070000000,PH071200000,PH071224000,PH071224012
CANLINTE BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,CANLINTE,PH070000000,PH071200000,PH071224000,PH071224013
CAWAYAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,CAWAYAN,PH070000000,PH071200000,PH071224000,PH071224014
COGON BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,COGON,PH070000000,PH071200000,PH071224000,PH071224015
CUAMING BARANGAY HEALTH CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,CUAMING,PH070000000,PH071200000,PH071224000,PH071224016
DAGNAWAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,DAGNAWAN,PH070000000,PH071200000,PH071224000,PH071224017
DAGOHOY BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,DAGOHOY,PH070000000,PH071200000,PH071224000,PH071224018
DAIT SUR BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,DAIT SUR,PH070000000,PH071200000,PH071224000,PH071224019
DATAG BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,DATAG,PH070000000,PH071200000,PH071224000,PH071224020
FATIMA BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,FATIMA,PH070000000,PH071200000,PH071224000,PH071224021
HAMBONGAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,HAMBONGAN,PH070000000,PH071200000,PH071224000,PH071224022
ILAUD BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,ILAUD (POB.),PH070000000,PH071200000,PH071224000,PH071224023
ILAYA BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,ILAYA,PH070000000,PH071200000,PH071224000,PH071224024
ILIHAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,ILIHAN,PH070000000,PH071200000,PH071224000,PH071224025
LAPACAN NORTE BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LAPACAN NORTE,PH070000000,PH071200000,PH071224000,PH071224027
LAPACAN SUR BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LAPACAN SUR,PH070000000,PH071200000,PH071224000,PH071224028
LAWIS BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LAWIS,PH070000000,PH071200000,PH071224000,PH071224029
LILOAN NORTE BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LILOAN NORTE,PH070000000,PH071200000,PH071224000,PH071224030
LILOAN SUR BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LILOAN SUR,PH070000000,PH071200000,PH071224000,PH071224031
LOMBOY BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LOMBOY,PH070000000,PH071200000,PH071224000,PH071224032
LONOY CAINSICAN BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LONOY CAINSICAN,PH070000000,PH071200000,PH071224000,PH071224033
LONOY ROMA BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LONOY ROMA,PH070000000,PH071200000,PH071224000,PH071224034
LUTAO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LUTAO,PH070000000,PH071200000,PH071224000,PH071224035
LUYO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,LUYO,PH070000000,PH071200000,PH071224000,PH071224036
MABUHAY BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,MABUHAY,PH070000000,PH071200000,PH071224000,PH071224037
NABUAD CENTRAL QUARANTINE FACILITY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,NABUAD,PH070000000,PH071200000,PH071224000,PH071224039
NAPO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,NAPO,PH070000000,PH071200000,PH071224000,PH071224040
ONDOL BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,ONDOL,PH070000000,PH071200000,PH071224000,PH071224041
POBLACION BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,POBLACION,PH070000000,PH071200000,PH071224000,PH071224042
RIVERSIDE BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,RIVERSIDE,PH070000000,PH071200000,PH071224000,PH071224043
SAA BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,SAA,PH070000000,PH071200000,PH071224000,PH071224044
SAN ISIDRO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,SAN ISIDRO,PH070000000,PH071200000,PH071224000,PH071224045
SAN JOSE CENTRAL QUARANTINE FACILITY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,SAN JOSE,PH070000000,PH071200000,PH071224000,PH071224046
SAN JOSE BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,SAN JOSE,PH070000000,PH071200000,PH071224000,PH071224046
SANTO NINO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,SANTO NI,PH070000000,PH071200000,PH071224000,PH071224047
STO. ROSARIO BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,SANTO ROSARIO,PH070000000,PH071200000,PH071224000,PH071224048
SUA BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,SUA,PH070000000,PH071200000,PH071224000,PH071224049
TAMBOOK BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,TAMBOOK,PH070000000,PH071200000,PH071224000,PH071224050
TUNGOD BARANGAY ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,TUNGOD,PH070000000,PH071200000,PH071224000,PH071224051
MABINI CENTRAL ELEMENTARY SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MABINI,POBLACION I,PH070000000,PH071200000,PH071231000,PH071231015
SAN ROQUE NATIONAL HIGH SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MABINI,SAN ROQUE (CABULAO),PH070000000,PH071200000,PH071231000,PH071231020
SAN ROQUE BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,SAN ROQUE (AGHAO),PH070000000,PH071200000,PH071232000,PH071232001
AGAHAY BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,AGAHAY,PH070000000,PH071200000,PH071232000,PH071232002
ALIGUAY BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,ALIGUAY,PH070000000,PH071200000,PH071232000,PH071232003
ANISLAG BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,ANISLAG,PH070000000,PH071200000,PH071232000,PH071232004
MUNICIPAL QUARANTINE FACILITY - DEMO FARM,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,BAYACABAC,PH070000000,PH071200000,PH071232000,PH071232005
BAYACABAC BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,BAYACABAC,PH070000000,PH071200000,PH071232000,PH071232005
BOOD BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,BOOD,PH070000000,PH071200000,PH071232000,PH071232006
BUSAO BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,BUSAO,PH070000000,PH071200000,PH071232000,PH071232007
CABAWAN BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,CABAWAN,PH070000000,PH071200000,PH071232000,PH071232008
CANDAVID BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,CANDAVID,PH070000000,PH071200000,PH071232000,PH071232009
DIPATLONG BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,DIPATLONG,PH070000000,PH071200000,PH071232000,PH071232010
GUIWANON BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,GUIWANON,PH070000000,PH071200000,PH071232000,PH071232011
JANDIG BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,JANDIG,PH070000000,PH071200000,PH071232000,PH071232012
LAGTANGON BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,LAGTANGON,PH070000000,PH071200000,PH071232000,PH071232013
LINCOD BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,LINCOD,PH070000000,PH071200000,PH071232000,PH071232014
PAGNITOAN BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,PAGNITOAN,PH070000000,PH071200000,PH071232000,PH071232015
POBLACION BIU (MULTI-PURPOSE BUILDING),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,POBLACION,PH070000000,PH071200000,PH071232000,PH071232016
MARIBOJOC MUNICIPAL ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,POBLACION,PH070000000,PH071200000,PH071232000,PH071232016
PUNSOD BIU (DAY CARE CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,PUNSOD,PH070000000,PH071200000,PH071232000,PH071232017
PUNTA CRUZ BIU (BHS),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,PUNTA CRUZ,PH070000000,PH071200000,PH071232000,PH071232018
